id,true_labels,pred_labels,score_sports,score_news,score_finance,score_tech
S047,finance|tech|news,finance|sports,0.2,0.22,0.65,0.31
S048,tech,tech,0.4,0.7,0.31,0.54
S049,finance|tech|sports,sports|news|tech,0.14,0.89,0.14,0.67
S050,sports|news,news,0.09,0.61,0.84,0.93
S051,news|tech,tech|news|sports,0.25,0.98,,0.05
S052,tech|news|finance,sports|news|tech,0.29,0.67,0.22,0.07
S053,news,finance|sports|news,0.18,0.08,0.36,0.24
S054,tech|sports|finance,sports|finance,0.22,0.44,0.81,0.31
S055,news,news|sports,0.86,0.36,0.84,0.14
S056,sports|tech,news|sports,0.81,0.15,0.15,0.96
S057,sports|tech|finance,tech,0.95,0.67,0.95,0.77
S058,finance|sports|news,sports|tech,0.85,0.98,0.61,0.21
S059,tech|finance|news,sports|finance|tech,0.17,0.9,0.79,0.5
S060,news|tech,tech|finance|news,0.72,0.84,0.8,0.77
S061,tech|finance|news,news,0.37,0.72,0.2,0.5
S062,tech|sports|news,news|sports,0.85,0.12,0.55,0.38
S063,news,sports,0.22,0.78,0.64,0.81
S064,news|sports|tech,finance|tech,0.75,0.19,0.1,0.31
S065,tech|finance,sports,0.33,0.39,0.97,0.89
S066,finance|tech|news,tech|news,0.15,0.74,0.18,0.09
S067,sports|news,sports,0.7,0.83,0.91,0.99
S068,sports|tech|news,finance|tech|news,0.57,0.31,0.17,0.48
S069,sports|news|finance,tech|sports,0.65,0.54,0.36,0.09
S070,sports|finance,sports,0.53,0.9,0.95,0.69
S071,sports|tech,finance|news,0.55,0.27,0.18,0.19
S072,tech,news|sports,0.17,0.27,0.62,0.05
S073,finance|tech,sports|tech|news,0.13,0.63,0.69,0.37
S074,finance|tech|sports,news,0.91,0.33,0.19,0.7
S075,news|tech|finance,news|tech|finance,0.76,0.35,0.74,0.7
S076,tech|sports,sports|news|tech,0.53,0.29,0.92,0.49
S077,finance|sports,news,0.96,0.36,0.96,0.63
S078,sports|finance|tech,sports|news,0.11,0.93,0.65,0.05
S079,news|finance,sports,0.99,0.52,0.18,0.65
S080,news,news,0.34,0.54,0.82,0.24
S081,finance|sports,sports|tech,0.43,0.24,0.52,0.81
S082,sports|finance|tech,sports,0.35,0.68,0.75,0.44
S083,tech|news|sports,news,0.07,0.17,0.86,0.77
S084,news,sports|news|tech,0.4,0.78,0.89,0.48
S085,news,tech|finance,0.96,0.11,0.92,0.35
S086,tech,finance|sports,0.35,0.64,0.75,0.83
S087,sports|news,finance|tech|news,0.32,0.49,0.57,0.08
S088,sports|tech,tech|finance,0.72,0.73,0.52,0.31
S089,tech|sports,tech|news|finance,0.08,0.31,0.2,0.08
S090,finance,tech|finance|sports,0.48,0.18,0.93,0.06
S091,sports|news,tech,0.52,0.33,0.89,0.64
S092,sports,news|finance|sports,0.36,0.89,0.52,0.19
S093,tech|news|finance,sports,0.29,0.26,0.76,0.38
S094,sports|tech|finance,tech,0.81,0.05,0.77,0.13
S095,sports|news|finance,finance,0.05,0.92,0.55,0.17
S096,finance|tech|news,finance|news,0.62,0.27,0.07,0.78
S097,sports|tech,finance|news|sports,0.34,0.38,0.78,0.17
S098,finance|sports,tech|finance,0.25,0.86,0.54,0.63
S099,finance|news,news|sports|tech,0.68,0.17,0.81,0.04
S100,sports|tech|finance,news,0.72,0.16,0.81,0.75
S101,sports|tech|finance,sports,0.39,0.59,0.61,0.5
S102,sports,finance|sports,0.71,0.09,0.56,0.38
S103,finance|news,sports|tech|finance,0.64,0.51,0.28,0.54
S104,tech|news|sports,finance|tech,0.38,0.02,0.36,0.45
S105,finance|sports|tech,sports|tech,0.97,0.44,0.48,0.65
S106,news|tech|finance,finance|tech|news,0.53,0.36,0.33,0.72
S107,finance|tech,finance|tech,0.38,0.2,0.56,0.59
S108,news,finance|sports|news,0.71,1.0,0.98,0.3
S109,sports|news|tech,finance|news|sports,0.48,0.98,0.55,0.96
S110,tech,sports|tech|news,0.66,0.53,0.97,0.27
S111,news|finance|sports,tech|sports,0.69,0.78,0.87,0.47
S112,tech|finance,tech,0.6,0.64,0.92,0.33
S113,finance|tech|news,news|tech,0.67,0.1,0.5,0.27
S114,finance|sports|news,news,0.48,0.1,0.3,0.91
S115,tech|sports|news,news,0.98,0.38,0.07,0.85
S116,finance|news,news,0.38,0.46,0.88,0.75
S117,tech|sports|news,finance|news|tech,0.07,0.39,0.29,0.13
S118,tech|finance,finance|sports,0.46,0.61,0.29,0.81
S119,sports|news|finance,finance,0.04,0.02,0.69,0.31
S120,sports,sports,0.71,0.91,0.2,0.46
S121,tech,sports|tech,0.93,0.44,0.17,0.08
S122,sports|finance|news,news|finance|sports,0.27,0.87,0.19,0.07
S123,sports|tech,finance,0.76,0.4,0.61,0.99
S124,sports,sports|tech,0.61,0.28,0.14,0.86
S125,tech|finance,news|tech,0.29,0.4,0.34,0.21
S126,news|tech,tech|news,0.98,0.06,0.86,0.67
S127,finance|news|tech,news|sports|finance,0.86,0.87,0.14,0.25
S128,finance|tech,tech,0.34,0.5,0.23,0.77
S129,tech|finance,sports|news|tech,0.66,0.86,0.53,0.24
S130,news|sports|finance,tech|sports|news,0.01,0.81,0.54,0.72
S131,news|finance,finance|tech|sports,0.72,0.35,0.32,0.0
S132,finance|news,tech,0.04,0.85,0.85,0.69
S133,finance,sports,0.43,0.7,0.86,0.55
S134,news|finance,news,0.64,0.72,0.61,0.74
S135,sports|finance|tech,tech|news|finance,0.03,0.44,0.66,0.13
S136,finance|news|sports,news|sports,0.27,0.94,0.92,0.83
S137,sports|tech,finance|tech,0.01,0.06,0.09,0.18
S138,tech|finance|sports,finance|tech,0.19,0.53,0.06,0.72
S139,sports|finance,finance,0.83,0.87,0.79,0.86
S140,news|sports,finance|sports,0.59,0.8,0.97,0.77
S141,tech|finance|sports,finance|tech|sports,0.43,0.97,0.49,0.01
S142,tech|finance|sports,finance,0.44,0.78,0.18,0.59
S143,finance|tech,finance,0.23,0.76,0.87,0.46
S144,news|tech|sports,finance,0.53,0.43,0.19,0.05
S145,news,news|sports,0.51,0.65,0.13,0.23
S146,finance|sports|tech,sports|finance|news,0.05,0.22,0.48,0.98
S147,sports|finance|news,news,0.27,0.17,0.22,0.45
S148,news|finance,sports|tech|news,0.7,0.78,0.38,0.8
S149,finance,sports|news|tech,0.89,0.24,0.16,0.5
S150,finance|news,sports,0.57,0.45,0.21,0.29
S151,news,sports|finance|news,0.93,0.74,0.43,0.02
S152,news|finance,tech,0.48,0.81,0.07,0.46
S153,sports|tech,tech,0.06,0.94,0.27,0.24
S154,news,tech|sports|news,0.21,0.22,1.0,0.24
S155,finance|tech|sports,news,0.1,0.21,0.08,0.05
S156,news|finance|sports,news|finance,0.49,0.78,0.42,0.99
S157,sports|tech|finance,finance,0.99,0.86,0.5,0.16
S158,news|tech|sports,finance|sports|tech,0.94,0.4,0.94,0.34
S159,sports|tech,news|tech|finance,0.81,0.15,0.34,0.84
S160,news,finance|news,0.32,0.65,0.48,0.69
S161,sports,sports|finance|news,0.52,0.37,0.99,0.14
S162,news,finance|sports,0.28,0.47,0.22,0.94
S163,tech|sports,tech|news|finance,0.21,0.96,0.4,0.62
S164,finance,sports|finance,0.99,0.84,0.88,0.28
S165,finance,tech|sports|finance,0.47,0.78,0.84,0.09
S166,tech|news,tech|finance,0.32,0.46,0.83,0.17
S167,news,sports,0.06,0.99,0.2,0.92
S168,tech|news,finance|news,0.4,0.52,0.31,0.6
S169,news,tech,0.56,0.85,0.03,0.83
S170,tech|finance,sports|tech,0.71,0.94,0.55,0.6
S171,tech|sports,tech|news|finance,0.51,0.52,0.08,0.99
S172,news|tech,finance,0.03,0.07,0.14,0.93
S173,finance|sports,tech,0.77,0.93,0.66,0.02
S174,finance|news,sports|tech|finance,0.67,0.11,0.98,0.22
S175,finance,news|sports,0.94,0.1,0.44,0.11
S176,tech,news|sports|finance,0.15,0.1,0.38,0.77
S177,news|sports|tech,sports,0.13,0.87,0.67,0.22
S178,finance|tech,sports|finance,0.9,0.92,0.51,0.68
S179,news,tech|sports,0.47,0.31,0.56,0.68
S180,finance,tech|finance,0.7,0.07,0.66,0.43
S181,news,tech|sports|finance,0.89,0.99,0.5,0.27
S182,tech,tech,0.44,0.65,0.41,0.38
S183,news|finance,tech,0.28,0.15,0.32,0.72
S184,finance|news,tech,0.8,0.33,0.14,0.07
S185,news|finance,sports|finance|tech,0.4,0.41,0.17,0.89
S186,tech,news,0.74,0.02,0.12,0.02
S187,finance,finance|news,0.97,0.72,0.95,0.7
S188,tech,tech|news|finance,0.46,0.6,0.62,0.45
S189,tech,sports,0.27,0.8,0.58,0.7
S190,sports|tech|finance,news,0.64,0.87,0.32,0.19
S191,finance|sports,news|tech,0.77,1.0,0.11,0.91
S192,news,sports,0.89,0.86,0.86,0.65
S193,tech|finance,tech|finance|sports,0.19,0.58,0.55,0.99
S194,finance,tech|finance|sports,0.29,0.47,0.32,0.13
S195,tech,tech|news,0.29,0.46,0.99,1.0
S196,sports,finance,0.89,0.71,0.36,0.67
S197,sports,finance|tech,0.36,0.72,0.14,0.05
S198,finance|tech,finance|news,1.0,0.1,0.8,0.28
S199,news|sports|finance,finance|news,0.18,0.96,0.04,0.41
S200,news,news,0.83,0.29,0.21,0.08
